,GEOID,month,filings_2020
1021,78701,10/2020,4
1022,78701,11/2020,1
1023,78701,12/2020,0
1024,78701,01/2021,0
1025,78701,02/2021,0
1026,78701,03/2021,1
1027,78701,04/2021,3
1028,78701,05/2021,1
1029,78701,06/2021,0
1030,78701,07/2021,2
1031,78701,08/2021,3
1032,78701,09/2021,1
1033,78701,10/2021,1
1034,78701,11/2021,1
1035,78701,12/2021,5
1036,78701,01/2022,8
1037,78701,02/2022,6
1038,78701,03/2022,8
1039,78701,04/2022,16
1040,78701,05/2022,6
1041,78701,06/2022,8
1042,78701,07/2022,8
1043,78701,08/2022,10
1044,78701,09/2022,12
1045,78701,10/2022,15
1046,78701,11/2022,3
1047,78701,12/2022,0
1048,78701,01/2023,4
1049,78701,02/2023,12
1050,78701,03/2023,7
1051,78701,04/2023,5
1052,78701,05/2023,20
1053,78701,06/2023,16
1054,78701,07/2023,19
1055,78701,08/2023,3
1056,78702,01/2020,17
1057,78702,02/2020,17
1058,78702,03/2020,8
1059,78702,04/2020,0
1060,78702,05/2020,0
1061,78702,06/2020,2
1062,78702,07/2020,2
1063,78702,08/2020,3
1064,78702,09/2020,2
1065,78702,10/2020,1
1066,78702,11/2020,0
1067,78702,12/2020,1
1068,78702,01/2021,2
1069,78702,02/2021,1
1070,78702,03/2021,2
1071,78702,04/2021,1
1072,78702,05/2021,1
1073,78702,06/2021,8
1074,78702,07/2021,5
1075,78702,08/2021,10
1076,78702,09/2021,3
1077,78702,10/2021,5
1078,78702,11/2021,9
1079,78702,12/2021,3
1080,78702,01/2022,9
1081,78702,02/2022,2
1082,78702,03/2022,10
1083,78702,04/2022,32
1084,78702,05/2022,8
1085,78702,06/2022,13
1086,78702,07/2022,6
1087,78702,08/2022,17
1088,78702,09/2022,16
1089,78702,10/2022,6
1090,78702,11/2022,15
1091,78702,12/2022,19
1092,78702,01/2023,9
1093,78702,02/2023,12
1094,78702,03/2023,16
1095,78702,04/2023,10
1096,78702,05/2023,22
1097,78702,06/2023,11
1098,78702,07/2023,7
1099,78702,08/2023,1
1100,78703,01/2020,0
1101,78703,02/2020,1
1102,78703,03/2020,1
1103,78703,04/2020,0
1104,78703,05/2020,0
1105,78703,06/2020,0
1106,78703,07/2020,0
1107,78703,08/2020,0
1108,78703,09/2020,0
1109,78703,10/2020,2
1110,78703,11/2020,2
1111,78703,12/2020,0
1112,78703,01/2021,0
1113,78703,02/2021,0
1114,78703,03/2021,2
1115,78703,04/2021,4
1116,78703,05/2021,1
1117,78703,06/2021,1
1118,78703,07/2021,0
1119,78703,08/2021,3
1120,78703,09/2021,2
1121,78703,10/2021,1
1122,78703,11/2021,3
1123,78703,12/2021,1
1124,78703,01/2022,2
1125,78703,02/2022,2
1126,78703,03/2022,1
1127,78703,04/2022,3
1128,78703,05/2022,1
1129,78703,06/2022,0
1130,78703,07/2022,0
1131,78703,08/2022,5
1132,78703,09/2022,3
1133,78703,10/2022,3
1134,78703,11/2022,0
1135,78703,12/2022,1
1136,78703,01/2023,3
1137,78703,02/2023,0
1138,78703,03/2023,3
1139,78703,04/2023,2
1140,78703,05/2023,6
1141,78703,06/2023,2
1142,78703,07/2023,3
1143,78703,08/2023,0
1144,78704,01/2020,20
1145,78704,02/2020,33
1146,78704,03/2020,13
1147,78704,04/2020,1
1148,78704,05/2020,1
