,NAME,S1901_C01_001E
1027, 77511,16252
1028, 77514,1778
1029, 77515,10939
1030, 77517,1767
1031, 77518,3631
1032, 77519,405
1033, 77520,12442
1034, 77521,19650
1035, 77523,6874
1036, 77530,9249
1037, 77531,5969
1038, 77532,10387
1039, 77533,301
1040, 77534,847
1041, 77535,9885
1042, 77536,10874
1043, 77538,336
1044, 77539,15579
1045, 77541,6479
1046, 77545,7192
1047, 77546,17894
1048, 77547,2624
1049, 77550,9837
1050, 77551,8425
1051, 77554,3733
1052, 77560,235
1053, 77561,39
1054, 77562,3676
1055, 77563,4015
1056, 77564,637
1057, 77565,3589
1058, 77566,11272
1059, 77568,5660
1060, 77571,13296
1061, 77573,29602
1062, 77575,5765
1063, 77577,572
1064, 77578,6011
1065, 77580,220
1066, 77581,16904
1067, 77583,9146
1068, 77584,29612
1069, 77585,330
1070, 77586,8824
1071, 77587,4615
1072, 77590,11086
1073, 77591,5380
1074, 77597,264
1075, 77598,11012
1076, 77611,3188
1077, 77612,3252
1078, 77613,449
1079, 77614,179
1080, 77615,309
1081, 77616,305
1082, 77617,25
1083, 77619,5992
1084, 77622,441
1085, 77623,144
1086, 77624,288
1087, 77625,3393
1088, 77627,8789
1089, 77629,265
1090, 77630,11536
1091, 77632,8649
1092, 77640,6341
1093, 77642,13815
1094, 77650,866
1095, 77651,5006
1096, 77655,156
1097, 77656,6076
1098, 77657,7666
1099, 77659,1709
1100, 77660,359
1101, 77661,243
1102, 77662,9748
1103, 77663,574
1104, 77664,934
1105, 77665,2364
1106, 77701,5024
1107, 77702,1130
1108, 77703,4984
1109, 77705,10775
1110, 77706,13034
1111, 77707,6714
1112, 77708,4867
1113, 77713,5751
1114, 77801,6126
1115, 77802,10958
1116, 77803,9546
1117, 77807,3425
1118, 77808,4546
1119, 77830,1086
1120, 77831,1218
1121, 77833,10071
1122, 77835,1170
1123, 77836,4493
1124, 77837,671
1125, 77840,21152
1126, 77845,23285
1127, 77853,459
1128, 77855,43
1129, 77856,2064
1130, 77857,301
1131, 77859,2427
1132, 77861,902
1133, 77864,2829
1134, 77865,726
1135, 77867,58
1136, 77868,4589
1137, 77871,1153
1138, 77872,697
1139, 77873,517
1140, 77876,22
1141, 77878,125
1142, 77879,2096
1143, 77880,512
1144, 77901,14697
1145, 77904,10416
1146, 77905,5359
1147, 77950,77
1148, 77951,686
1149, 77954,3802
1150, 77957,3068
1151, 77960,56
1152, 77961,145
1153, 77962,1209
1154, 77963,1939
1155, 77964,3283
1156, 77968,1117
1157, 77969,38
1158, 77970,131
1159, 77971,408
1160, 77973,0
1161, 77974,147
1162, 77975,680
1163, 77976,43
1164, 77977,243
1165, 77978,288
1166, 77979,6182
1167, 77982,289
1168, 77983,764
1169, 77984,1587
1170, 77987,108
1171, 77988,156
1172, 77990,311
1173, 77991,75
1174, 77993,57
1175, 77994,186
1176, 77995,3767
1177, 78001,0
1178, 78002,1857
1179, 78003,3708
1180, 78004,399
1181, 78005,219
1182, 78006,11466
1183, 78007,56
1184, 78008,176
1185, 78009,2779
1186, 78010,1282
1187, 78011,600
1188, 78012,130
1189, 78013,1892
1190, 78014,1780
1191, 78015,5019
1192, 78016,3501
1193, 78017,1044
1194, 78019,391
1195, 78021,73
1196, 78022,1338
1197, 78023,8931
1198, 78024,482
1199, 78025,1804
1200, 78026,1895
1201, 78027,111
1202, 78028,16657
1203, 78029,0
1204, 78039,626
1205, 78040,11731
1206, 78041,14111
1207, 78043,12402
1208, 78044,116
1209, 78045,18703
1210, 78046,16145
1211, 78050,155
1212, 78052,2090
1213, 78055,573
1214, 78056,680
1215, 78057,282
1216, 78058,450
1217, 78059,1924
1218, 78060,31
1219, 78061,3181
1220, 78063,3646
1221, 78064,5398
1222, 78065,3274
1223, 78066,202
1224, 78067,207
1225, 78069,1715
1226, 78070,5687
1227, 78071,1062
1228, 78072,160
1229, 78073,2221
1230, 78075,59
1231, 78076,4049
1232, 78101,2214
1233, 78102,7209
1234, 78104,38
1235, 78107,166
1236, 78108,11655
1237, 78109,11721
1238, 78112,2170
1239, 78113,1106
1240, 78114,7451
1241, 78116,88
1242, 78117,207
